epoch,train_loss,val_loss,train_f1_argmax,val_f1_argmax,val_f1_best_thr,lrs,val_brier,val_ece,val_mce,val_expected_cost
0,nan,0.8124807000610218,nan,0.2968146718146718,0.695524106704955,2e-05,0.30611855671188154,0.2849042338709677,0.5801295230263158,0.5778997940974606
1,0.6443579167884429,0.620591631963307,0.39802232913437874,0.7581713007075545,0.8298840158694389,2e-05,0.2137847524353635,0.19913195189172958,0.42289473684210527,0.24090597117364443
2,0.4991088404832184,0.5626078019750879,0.6092043086907474,0.8314791865831062,0.860582330885799,4e-05,0.1859653246427286,0.2431875214481812,0.36537062775544604,0.1681537405628003
3,0.3496639291227232,0.43368267517999665,0.7669413659899315,0.8839718557172711,0.8882888373373177,6e-05,0.12853740479646272,0.2117034765490949,0.32246736994760483,0.11050102951269736
4,0.2559902590680957,0.357655189220596,0.8691066551674573,0.8502401742280841,0.9086415144414097,8e-05,0.10503423709308132,0.1772511494675154,0.3611842564174107,0.1386410432395333
5,0.2047659156661207,0.34408948281568946,0.9270164727895942,0.8303124935584276,0.9016072393300918,0.0001,0.1055059749167571,0.12663721923723398,0.37575096420094944,0.15511324639670554
6,0.17139453673575458,0.38630280489780844,0.9157448649573776,0.7966426432522966,0.8789053137780939,0.0001,0.12256438976249753,0.13550024836048657,0.4180458470394737,0.18119423472889495
7,0.14456612155015286,0.38296689873455153,0.9046510870148732,0.8003924835693789,0.8848950996832494,9.960967771506666e-05,0.12033504856343061,0.14554378269630178,0.4790746716485507,0.17776252573781748
8,0.13457130207619442,0.3189845032371228,0.9240193420298854,0.8367987852940932,0.920540687935803,9.844486647586725e-05,0.09808524775221579,0.13027207276227135,0.47055586557539675,0.14824982841455048
9,0.1319358169664319,0.21569650833461082,0.9542101565050685,0.9130996640092248,0.9506275753632618,9.652393605146844e-05,0.059965729524947144,0.08684945527870688,0.4441213896780303,0.08236101578586141
10,0.12911735001539806,0.22584007210983506,0.9736099329531698,0.9014609894329629,0.9620967741935484,9.387718066217125e-05,0.06457073757968637,0.09990880553985836,0.4939465645032051,0.09265614275909406
11,0.12699633716575562,0.17112421199894148,0.9828542411952698,0.9412456084443763,0.9690765609323146,9.05463412215599e-05,0.043887358361243675,0.06798093582394193,0.40514026988636365,0.05628002745367189
12,0.12147609235983478,0.14931742639351808,0.9861671583819573,0.9500446703212737,0.971863352837804,8.658394705735987e-05,0.035621121965886536,0.05467073419933543,0.3983604029605262,0.04804392587508577
13,0.10949852696492726,0.1216867186880799,0.9840441568034632,0.9711018003989061,0.975364127328741,8.205248749256015e-05,0.0251148735459739,0.04113713195247037,0.30130859374999996,0.028140013726835944
14,0.1161668354858866,0.14339984765221342,0.9887646947690671,0.9565982166968703,0.9725239628972198,7.702342635146033e-05,0.033696439592337236,0.05500245859300592,0.3362379807692307,0.04186684969114618
15,0.10428592171993006,0.12573339639253295,0.9889822227950005,0.9696067373486728,0.974665862960344,7.157607493247111e-05,0.027177507780017738,0.04358771793140316,0.31566540948275856,0.029512697323267
16,0.1095675103207852,0.1469348388006201,0.9868865822439772,0.9514989523977364,0.9739329904409522,6.57963412215599e-05,0.035443522995688925,0.05764391828090585,0.49476318359375,0.04667124227865482
17,0.10481777433344332,0.11865208387456697,0.9868771897620034,0.9710616508863843,0.9760626783049721,5.977537507199338e-05,0.02471785799485874,0.038696959890890524,0.24606662326388884,0.028140013726835944
18,0.11092872901032784,0.15207134646426837,0.9882865761107252,0.9478004598581165,0.9746880646107756,5.360813071670102e-05,0.03767638489917264,0.06585299670082623,0.5488666735197368,0.0501029512697323
19,0.1108140986752821,0.11856959278483709,0.9873458615562176,0.9703488710146333,0.9754070887577674,4.739186928329899e-05,0.024843198045173404,0.04015690575091088,0.2837117513020833,0.028826355525051528
20,0.10829595085195097,0.1258210969773072,0.987823254940836,0.964598527376491,0.9746546005582057,4.1224624928006624e-05,0.02769988292243005,0.04611015921188855,0.39495849609375,0.03431708991077553
21,0.1034372183625307,0.13710199731134273,0.9901621328015077,0.959487284805622,0.975364127328741,3.5203658778440106e-05,0.03206125551753216,0.05461001891180022,0.49619838169642855,0.03912148249828418
22,0.10740898039214973,0.1284563364071149,0.9878162891173601,0.9631081765416228,0.976041098381524,2.9423925067528905e-05,0.028774182118066444,0.04927489699446836,0.33575439453124994,0.03568977350720659
